PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic	PE_HGVS	element_HGVS
chr4	127985018	127985056	PE_1_of_1_in_NM_001358451.3_intron_2_0_chr4_127984424_f	NMD_in	ABHD18	NA	chr4	127984423	127989720	NM_001358451.3_intron_2_0_chr4_127984424_f	NA	NA	NA	NA	NA	NC_000004.12:g.127985019_127985056	NC_000004.12:g.127984424_127989720
chr4	139072712	139072741	PE_1_of_1_in_NM_001331036.3_intron_4_0_chr4_139072040_r	NMD_in	ELF2	ELF2, NERF	chr4	139072039	139073453	NM_001331036.3_intron_4_0_chr4_139072040_r	619798	NA	NA	NA	NA	NC_000004.12:g.139072713_139072741	NC_000004.12:g.139072040_139073453
chr4	139116649	139116751	PE_1_of_1_in_NM_001331036.3_intron_5_0_chr4_139073568_r	NMD_in	ELF2	ELF2, NERF	chr4	139073567	139125163	NM_001331036.3_intron_5_0_chr4_139073568_r	619798	NA	NA	NA	NA	NC_000004.12:g.139116650_139116751	NC_000004.12:g.139073568_139125163
chr4	150153016	150153111	PE_1_of_1_in_NM_001040260.4_intron_1_0_chr4_150102813_f	NMD_in	DCLK2	DCLK2, DCK2, CLIK2, CL2	chr4	150102812	150193137	NM_001040260.4_intron_1_0_chr4_150102813_f	613166	NA	NA	NA	NA	NC_000004.12:g.150153017_150153111	NC_000004.12:g.150102813_150193137
chr4	150243000	150243132	PE_1_of_1_in_NM_001040260.4_intron_11_0_chr4_150240477_f	NMD_in	DCLK2	DCLK2, DCK2, CLIK2, CL2	chr4	150240476	150247602	NM_001040260.4_intron_11_0_chr4_150240477_f	613166	NA	NA	NA	NA	NC_000004.12:g.150243001_150243132	NC_000004.12:g.150240477_150247602
chr4	150253473	150253555	PE_1_of_1_in_NM_001040260.4_intron_14_0_chr4_150249685_f	NMD_in	DCLK2	DCLK2, DCK2, CLIK2, CL2	chr4	150249684	150256019	NM_001040260.4_intron_14_0_chr4_150249685_f	613166	NA	NA	NA	NA	NC_000004.12:g.150253474_150253555	NC_000004.12:g.150249685_150256019
chr4	151681455	151681518	PE_1_of_1_in_NM_004564.3_intron_2_0_chr4_151679892_r	NMD_in	GATB	GATB, PET112, COXPD41	chr4	151679891	151688629	NM_004564.3_intron_2_0_chr4_151679892_r	603645	?Combined oxidative phosphorylation deficiency 41, 618838 (3), Autosomal recessive	NA	NA	NA	NC_000004.12:g.151681456_151681518	NC_000004.12:g.151679892_151688629
chr4	155361317	155361360	PE_1_of_1_in_NM_001039580.2_intron_7_0_chr4_155360416_r	NMD_in	MAP9	ASAP	chr4	155360415	155362047	NM_001039580.2_intron_7_0_chr4_155360416_r	610070	NA	NA	NA	NA	NC_000004.12:g.155361318_155361360	NC_000004.12:g.155360416_155362047
chr4	156779456	156779547	PE_1_of_1_in_NM_016205.3_intron_2_0_chr4_156772894_r	NMD_in	PDGFC	PDGFC	chr4	156772893	156810836	NM_016205.3_intron_2_0_chr4_156772894_r	608452	NA	NA	NA	NA	NC_000004.12:g.156779457_156779547	NC_000004.12:g.156772894_156810836
chr4	156861428	156861488	PE_1_of_1_in_NM_016205.3_intron_4_0_chr4_156850417_r	NMD_in	PDGFC	PDGFC	chr4	156850416	156970785	NM_016205.3_intron_4_0_chr4_156850417_r	608452	NA	NA	NA	NA	NC_000004.12:g.156861429_156861488	NC_000004.12:g.156850417_156970785
chr4	157244833	157244997	PE_1_of_1_in_NM_001083619.3_intron_1_0_chr4_157221808_f	NMD_in	GRIA2	GRIA2, GLUR2, NEDLIB	chr4	157221807	157303551	NM_001083619.3_intron_1_0_chr4_157221808_f	138247	Neurodevelopmental disorder with language impairment and behavioral abnormalities, 618917 (3), Autosomal dominant	Rare Single Gene Mutation	1	0	NC_000004.12:g.157244834_157244997	NC_000004.12:g.157221808_157303551
chr4	157360708	157360748	PE_1_of_1_in_NM_001083619.3_intron_12_0_chr4_157360144_f	NMD_in	GRIA2	GRIA2, GLUR2, NEDLIB	chr4	157360143	157361009	NM_001083619.3_intron_12_0_chr4_157360144_f	138247	Neurodevelopmental disorder with language impairment and behavioral abnormalities, 618917 (3), Autosomal dominant	Rare Single Gene Mutation	1	0	NC_000004.12:g.157360709_157360748	NC_000004.12:g.157360144_157361009
chr4	157361537	157361651	PE_1_of_1_in_NM_001083619.3_intron_13_0_chr4_157361125_f	NMD_in	GRIA2	GRIA2, GLUR2, NEDLIB	chr4	157361124	157362798	NM_001083619.3_intron_13_0_chr4_157361125_f	138247	Neurodevelopmental disorder with language impairment and behavioral abnormalities, 618917 (3), Autosomal dominant	Rare Single Gene Mutation	1	0	NC_000004.12:g.157361538_157361651	NC_000004.12:g.157361125_157362798
chr4	158718670	158718840	PE_1_of_1_in_NM_005038.3_intron_6_0_chr4_158717201_r	NMD_in	PPID	PPID	chr4	158717200	158719179	NM_005038.3_intron_6_0_chr4_158717201_r	601753	NA	NA	NA	NA	NC_000004.12:g.158718671_158718840	NC_000004.12:g.158717201_158719179
chr4	163158224	163158326	PE_1_of_1_in_NM_138386.3_intron_5_0_chr4_163148435_r	NMD_in	NAF1	NAF1	chr4	163148434	163164216	NM_138386.3_intron_5_0_chr4_163148435_r	617868	NA	NA	NA	NA	NC_000004.12:g.163158225_163158326	NC_000004.12:g.163148435_163164216
chr4	165430532	165430571	PE_1_of_1_in_NM_001873.4_intron_0_0_chr4_165379529_f	NMD_in	CPE	CPE, BDVS	chr4	165379528	165464389	NM_001873.4_intron_0_0_chr4_165379529_f	114855	BDV syndrome, 619326 (3), Autosomal recessive	NA	NA	NA	NC_000004.12:g.165430533_165430571	NC_000004.12:g.165379529_165464389
chr4	165919833	165919938	PE_1_of_1_in_NM_012464.5_intron_0_0_chr4_165874074_f	NMD_in	TLL1	TLL1, TLL, ASD6	chr4	165874073	165989380	NM_012464.5_intron_0_0_chr4_165874074_f	606742	Atrial septal defect 6, 613087 (3), Autosomal dominant	NA	NA	NA	NC_000004.12:g.165919834_165919938	NC_000004.12:g.165874074_165989380
chr4	174256028	174256144	PE_1_of_1_in_NM_012180.3_intron_2_0_chr4_174241219_r	NMD_in	FBXO8	FBXO8, FBX8, FBS	chr4	174241218	174259698	NM_012180.3_intron_2_0_chr4_174241219_r	605649	NA	NA	NA	NA	NC_000004.12:g.174256029_174256144	NC_000004.12:g.174241219_174259698
chr4	184007829	184007906	PE_1_of_1_in_NM_020225.3_intron_1_0_chr4_184001478_f	NMD_in	STOX2	STOX2, KIAA1392	chr4	184001477	184009157	NM_020225.3_intron_1_0_chr4_184001478_f	617359	NA	NA	NA	NA	NC_000004.12:g.184007830_184007906	NC_000004.12:g.184001478_184009157
chr4	184725751	184725888	PE_1_of_1_in_NM_024629.4_intron_9_0_chr4_184725063_r	NMD_in	CENPU	MLF1IP, CENPU, CENP50	chr4	184725062	184728917	NM_024629.4_intron_9_0_chr4_184725063_r	611511	NA	NA	NA	NA	NC_000004.12:g.184725752_184725888	NC_000004.12:g.184725063_184728917
chr4	186129503	186129592	PE_1_of_1_in_NM_001395294.1_intron_0_0_chr4_186105643_f	NMD_in	FAM149A	NA	chr4	186105642	186149172	NM_001395294.1_intron_0_0_chr4_186105643_f	NA	NA	NA	NA	NA	NC_000004.12:g.186129504_186129592	NC_000004.12:g.186105643_186149172
chr5	1803915	1804095	PE_1_of_1_in_NM_004553.6_intron_1_0_chr5_1802375_f	NMD_in	NDUFS6	NDUFS6, MC1DN9	chr5	1802374	1814338	NM_004553.6_intron_1_0_chr5_1802375_f	603848	Mitochondrial complex I deficiency, nuclear type 9, 618232 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.1803916_1804095	NC_000005.10:g.1802375_1814338
chr5	5453114	5453211	PE_1_of_1_in_NM_015325.3_intron_9_0_chr5_5447898_f	NMD_in	ICE1	ICE1, KIAA0947	chr5	5447897	5454551	NM_015325.3_intron_9_0_chr5_5447898_f	617958	NA	NA	NA	NA	NC_000005.10:g.5453115_5453211	NC_000005.10:g.5447898_5454551
chr5	6749776	6749936	PE_1_of_1_in_NM_006999.6_intron_8_0_chr5_6749658_f	NMD_in	TENT4A	TENT4A, POLS, TRF4, POLK	chr5	6749657	6750330	NM_006999.6_intron_8_0_chr5_6749658_f	605198	NA	NA	NA	NA	NC_000005.10:g.6749777_6749936	NC_000005.10:g.6749658_6750330
chr5	7811069	7811179	PE_1_of_1_in_NM_020546.3_intron_21_0_chr5_7804693_f	NMD_in	ADCY2	ADCY2	chr5	7804692	7816865	NM_020546.3_intron_21_0_chr5_7804693_f	103071	NA	NA	NA	NA	NC_000005.10:g.7811070_7811179	NC_000005.10:g.7804693_7816865
chr5	10993017	10993098	PE_1_of_1_in_NM_001332.4_intron_3_0_chr5_10992678_r	NMD_in	CTNND2	CTNND2, NPRAP	chr5	10992677	11017973	NM_001332.4_intron_3_0_chr5_10992678_r	604275	NA	Rare Single Gene Mutation, Functional	2	0	NC_000005.10:g.10993018_10993098	NC_000005.10:g.10992678_11017973
chr5	14488955	14489096	PE_1_of_1_in_NM_007118.4_intron_47_0_chr5_14488261_f	NMD_in	TRIO	TRIO, MRD44, MRD63	chr5	14488260	14492566	NM_007118.4_intron_47_0_chr5_14488261_f	601893	Intellectual developmental disorder, autosomal dominant 44, with microcephaly, 617061 (3), Autosomal dominant; Intellectual developmental disorder, autosomal dominant 63, with macrocephaly, 618825 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0	NC_000005.10:g.14488956_14489096	NC_000005.10:g.14488261_14492566
chr5	14687319	14687418	PE_1_of_1_in_NM_138348.6_intron_3_0_chr5_14681608_f	NMD_in	OTULIN	OTULIN, FAM105B, GUM, AIPDS	chr5	14681607	14687520	NM_138348.6_intron_3_0_chr5_14681608_f	615712	Autoinflammation, panniculitis, and dermatosis syndrome, 617099 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.14687320_14687418	NC_000005.10:g.14681608_14687520
chr5	14691768	14691942	PE_1_of_1_in_NM_138348.6_intron_5_0_chr5_14690309_f	NMD_in	OTULIN	OTULIN, FAM105B, GUM, AIPDS	chr5	14690308	14692853	NM_138348.6_intron_5_0_chr5_14690309_f	615712	Autoinflammation, panniculitis, and dermatosis syndrome, 617099 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.14691769_14691942	NC_000005.10:g.14690309_14692853
chr5	31467141	31467165	PE_1_of_1_in_NM_001382508.1_intron_17_0_chr5_31466282_r	NMD_in	DROSHA	RNASEN, DROSHA, RANSE3L, RN3	chr5	31466281	31467938	NM_001382508.1_intron_17_0_chr5_31466282_r	608828	NA	NA	NA	NA	NC_000005.10:g.31467142_31467165	NC_000005.10:g.31466282_31467938
chr5	32406243	32406316	PE_1_of_1_in_NM_016107.5_intron_13_0_chr5_32404098_r	NMD_in	ZFR	ZFR	chr5	32404097	32406773	NM_016107.5_intron_13_0_chr5_32404098_r	615635	NA	NA	NA	NA	NC_000005.10:g.32406244_32406316	NC_000005.10:g.32404098_32406773
chr5	36113862	36114006	PE_1_of_1_in_NM_001007527.2_intron_4_0_chr5_36111259_r	NMD_in	LMBRD2	LMBRD2, DENBA	chr5	36111258	36114423	NM_001007527.2_intron_4_0_chr5_36111259_r	619490	Developmental delay with variable neurologic and brain abnormalities, 619694 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.36113863_36114006	NC_000005.10:g.36111259_36114423
chr5	36629942	36630043	PE_1_of_1_in_NM_004172.5_intron_2_0_chr5_36629588_f	NMD_in	SLC1A3	SLC1A3, EAAT1, EA6	chr5	36629587	36671028	NM_004172.5_intron_2_0_chr5_36629588_f	600111	Episodic ataxia, type 6, 612656 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.36629943_36630043	NC_000005.10:g.36629588_36671028
chr5	36971748	36971850	PE_1_of_1_in_NM_133433.4_intron_6_0_chr5_36971037_f	NMD_in	NIPBL	NIPBL, CDLS1	chr5	36971036	36971944	NM_133433.4_intron_6_0_chr5_36971037_f	608667	Cornelia de Lange syndrome 1, 122470 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0	NC_000005.10:g.36971749_36971850	NC_000005.10:g.36971037_36971944
chr5	37048126	37048353	PE_1_of_1_in_NM_133433.4_intron_37_0_chr5_37046200_f	NMD_in	NIPBL	NIPBL, CDLS1	chr5	37046199	37048501	NM_133433.4_intron_37_0_chr5_37046200_f	608667	Cornelia de Lange syndrome 1, 122470 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0	NC_000005.10:g.37048127_37048353	NC_000005.10:g.37046200_37048501
chr5	37299105	37299172	PE_1_of_1_in_NM_153485.3_intron_3_0_chr5_37298979_r	NMD_in	NUP155	NUP155, KIAA0791, ATFB15	chr5	37298978	37299447	NM_153485.3_intron_3_0_chr5_37298979_r	606694	?Atrial fibrillation 15, 615770 (3), Autosomal recessive	Rare Single Gene Mutation	1	0	NC_000005.10:g.37299106_37299172	NC_000005.10:g.37298979_37299447
chr5	39382326	39382523	PE_1_of_1_in_NM_001343.4_intron_4_0_chr5_39381617_r	NMD_in	DAB2	DAB2, DOC2	chr5	39381616	39382617	NM_001343.4_intron_4_0_chr5_39381617_r	601236	NA	NA	NA	NA	NC_000005.10:g.39382327_39382523	NC_000005.10:g.39381617_39382617
chr5	41742175	41742239	PE_1_of_1_in_NM_000436.4_intron_1_0_chr5_41739492_r	NMD_in	OXCT1	OXCT1, OXCT, SCOT	chr5	41739491	41749526	NM_000436.4_intron_1_0_chr5_41739492_r	601424	Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.41742176_41742239	NC_000005.10:g.41739492_41749526
chr5	43658734	43658872	PE_1_of_1_in_NM_182977.3_intron_15_0_chr5_43656814_f	NMD_in	NNT	NNT, GCCD4	chr5	43656813	43659170	NM_182977.3_intron_15_0_chr5_43656814_f	607878	Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency, 614736 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.43658735_43658872	NC_000005.10:g.43656814_43659170
chr5	51389104	51389163	PE_1_of_1_in_NM_002202.3_intron_2_0_chr5_51387750_f	NMD_in	ISL1	ISL1	chr5	51387749	51389645	NM_002202.3_intron_2_0_chr5_51387750_f	600366	NA	NA	NA	NA	NC_000005.10:g.51389105_51389163	NC_000005.10:g.51387750_51389645
chr5	54210867	54210931	PE_1_of_1_in_NM_019087.3_intron_3_0_chr5_54171929_r	NMD_in	ARL15	NA	chr5	54171928	54310431	NM_019087.3_intron_3_0_chr5_54171929_r	NA	NA	NA	NA	NA	NC_000005.10:g.54210868_54210931	NC_000005.10:g.54171929_54310431
chr5	55343554	55343719	PE_1_of_1_in_NM_015360.5_intron_7_0_chr5_55343456_f	NMD_in	MTREX	MTREX, MTR4, SKIV2L2	chr5	55343455	55344521	NM_015360.5_intron_7_0_chr5_55343456_f	618122	NA	NA	NA	NA	NC_000005.10:g.55343555_55343719	NC_000005.10:g.55343456_55344521
chr5	55422416	55422604	PE_1_of_1_in_NM_015360.5_intron_24_0_chr5_55416133_f	NMD_in	MTREX	MTREX, MTR4, SKIV2L2	chr5	55416132	55422877	NM_015360.5_intron_24_0_chr5_55416133_f	618122	NA	NA	NA	NA	NC_000005.10:g.55422417_55422604	NC_000005.10:g.55416133_55422877
chr5	55675246	55675330	PE_1_of_1_in_NM_173514.4_intron_12_0_chr5_55672696_r	NMD_in	SLC38A9	SLC38A9, URLC11	chr5	55672695	55697845	NM_173514.4_intron_12_0_chr5_55672696_r	616203	NA	NA	NA	NA	NC_000005.10:g.55675247_55675330	NC_000005.10:g.55672696_55697845
chr5	56184009	56184148	PE_1_of_1_in_NM_024669.3_intron_9_0_chr5_56183635_r	NMD_in	ANKRD55	ANKRD55	chr5	56183634	56232855	NM_024669.3_intron_9_0_chr5_56183635_r	615189	NA	NA	NA	NA	NC_000005.10:g.56184010_56184148	NC_000005.10:g.56183635_56232855
chr5	57243515	57243608	PE_1_of_1_in_NM_022913.4_intron_5_0_chr5_57236033_f	NMD_in	GPBP1	GPBP1, GPBP	chr5	57236032	57246299	NM_022913.4_intron_5_0_chr5_57236033_f	608412	NA	NA	NA	NA	NC_000005.10:g.57243516_57243608	NC_000005.10:g.57236033_57246299
chr5	61525015	61525146	PE_1_of_1_in_NM_020928.2_intron_4_0_chr5_61521443_f	NMD_in	ZSWIM6	ZSWIM6, KIAA1577, AFND, NEDMAGA	chr5	61521442	61525799	NM_020928.2_intron_4_0_chr5_61521443_f	615951	Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features, 617865 (3), Autosomal dominant; Acromelic frontonasal dysostosis, 603671 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Genetic Association	NA	1	NC_000005.10:g.61525016_61525146	NC_000005.10:g.61521443_61525799
chr5	62359915	62359941	PE_1_of_1_in_NM_001098511.3_intron_8_0_chr5_62358300_f	NMD_in	KIF2A	KIF2A, CDCBM3	chr5	62358299	62361241	NM_001098511.3_intron_8_0_chr5_62358300_f	602591	Cortical dysplasia, complex, with other brain malformations 3, 615411 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.62359916_62359941	NC_000005.10:g.62358300_62361241
chr5	64593186	64593377	PE_1_of_1_in_NM_001029875.3_intron_2_0_chr5_64575905_f	NMD_in	RGS7BP	RGS7BP, R7BP	chr5	64575904	64594709	NM_001029875.3_intron_2_0_chr5_64575905_f	610890	NA	NA	NA	NA	NC_000005.10:g.64593187_64593377	NC_000005.10:g.64575905_64594709
chr5	64978450	64978574	PE_1_of_1_in_NM_005869.4_intron_12_0_chr5_64977239_f	NMD_in	CWC27	CWC27, SDCCAG10, RPSKA	chr5	64977238	65018158	NM_005869.4_intron_12_0_chr5_64977239_f	617170	Retinitis pigmentosa with or without skeletal anomalies, 250410 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.64978451_64978574	NC_000005.10:g.64977239_65018158
chr5	65214037	65214125	PE_1_of_1_in_NM_197941.4_intron_4_0_chr5_65197152_r	NMD_in	ADAMTS6	ADAMTS6	chr5	65197151	65214793	NM_197941.4_intron_4_0_chr5_65197152_r	605008	NA	NA	NA	NA	NC_000005.10:g.65214038_65214125	NC_000005.10:g.65197152_65214793
chr5	65297107	65297243	PE_1_of_1_in_NM_197941.4_intron_14_0_chr5_65291471_r	NMD_in	ADAMTS6	ADAMTS6	chr5	65291470	65299984	NM_197941.4_intron_14_0_chr5_65291471_r	605008	NA	NA	NA	NA	NC_000005.10:g.65297108_65297243	NC_000005.10:g.65291471_65299984
chr5	65623181	65623257	PE_1_of_1_in_NM_001656.4_intron_9_0_chr5_65618256_r	NMD_in	TRIM23	TRIM23, ARD1	chr5	65618255	65624193	NM_001656.4_intron_9_0_chr5_65618256_r	601747	NA	Rare Single Gene Mutation	1	0	NC_000005.10:g.65623182_65623257	NC_000005.10:g.65618256_65624193
chr5	66158808	66158931	PE_1_of_1_in_NM_001077199.3_intron_1_0_chr5_66153597_f	NMD_in	SREK1	SREK1, SFRS12, SRRp508	chr5	66153596	66159218	NM_001077199.3_intron_1_0_chr5_66153597_f	609268	NA	NA	NA	NA	NC_000005.10:g.66158809_66158931	NC_000005.10:g.66153597_66159218
chr5	66164607	66164699	PE_1_of_1_in_NM_001077199.3_intron_5_0_chr5_66163923_f	NMD_in	SREK1	SREK1, SFRS12, SRRp508	chr5	66163922	66164782	NM_001077199.3_intron_5_0_chr5_66163923_f	609268	NA	NA	NA	NA	NC_000005.10:g.66164608_66164699	NC_000005.10:g.66163923_66164782
chr5	68270307	68270377	PE_1_of_1_in_NM_181523.3_intron_1_0_chr5_68227010_f	NMD_in	PIK3R1	PIK3R1, GRB1, AGM7, SHORT, IMD36	chr5	68227009	68273389	NM_181523.3_intron_1_0_chr5_68227010_f	171833	Immunodeficiency 36, 616005 (3), Autosomal dominant; ?Agammaglobulinemia 7, autosomal recessive, 615214 (3), Autosomal recessive; SHORT syndrome, 269880 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.68270308_68270377	NC_000005.10:g.68227010_68273389
chr5	68274520	68274588	PE_1_of_1_in_NM_181523.3_intron_3_0_chr5_68274014_f	NMD_in	PIK3R1	PIK3R1, GRB1, AGM7, SHORT, IMD36	chr5	68274013	68279601	NM_181523.3_intron_3_0_chr5_68274014_f	171833	Immunodeficiency 36, 616005 (3), Autosomal dominant; ?Agammaglobulinemia 7, autosomal recessive, 615214 (3), Autosomal recessive; SHORT syndrome, 269880 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.68274521_68274588	NC_000005.10:g.68274014_68279601
chr5	72179789	72179984	PE_1_of_1_in_NM_005909.5_intron_1_0_chr5_72115800_f	NMD_in	MAP1B	MAP1B, PVNH9, DFNA83	chr5	72115799	72183742	NM_005909.5_intron_1_0_chr5_72115800_f	157129	?Deafness, autosomal dominant 83, 619808 (3), Autosomal dominant; Periventricular nodular heterotopia 9, 618918 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.72179790_72179984	NC_000005.10:g.72115800_72183742
chr5	75678291	75678575	PE_1_of_1_in_NM_001099271.2_intron_1_0_chr5_75677951_r	NMD_in	POC5	POC5, C5orf37	chr5	75677950	75685206	NM_001099271.2_intron_1_0_chr5_75677951_r	617880	NA	NA	NA	NA	NC_000005.10:g.75678292_75678575	NC_000005.10:g.75677951_75685206
chr5	80255081	80255100	PE_1_of_1_in_NM_001174072.3_intron_10_0_chr5_80203054_r	NMD_in	SERINC5	SERINC5, C5orf12, TPO1	chr5	80203053	80255895	NM_001174072.3_intron_10_0_chr5_80203054_r	614551	NA	NA	NA	NA	NC_000005.10:g.80255082_80255100	NC_000005.10:g.80203054_80255895
chr5	80440900	80440954	PE_1_of_1_in_NM_001284236.3_intron_4_0_chr5_80440033_f	NMD_in	ZFYVE16	ZFYVE16, ENDOFIN, KIAA0305	chr5	80440032	80443122	NM_001284236.3_intron_4_0_chr5_80440033_f	608880	NA	NA	NA	NA	NC_000005.10:g.80440901_80440954	NC_000005.10:g.80440033_80443122
chr5	81570495	81570701	PE_1_of_1_in_NM_001256732.3_intron_12_0_chr5_81513718_r	NMD_in	SSBP2	SSBP2	chr5	81513717	81615472	NM_001256732.3_intron_12_0_chr5_81513718_r	607389	NA	NA	NA	NA	NC_000005.10:g.81570496_81570701	NC_000005.10:g.81513718_81615472
chr5	82234343	82234567	PE_1_of_1_in_NM_031482.5_intron_4_0_chr5_82178588_f	NMD_in	ATG10	ATG10, APG10	chr5	82178587	82252561	NM_031482.5_intron_4_0_chr5_82178588_f	610800	NA	NA	NA	NA	NC_000005.10:g.82234344_82234567	NC_000005.10:g.82178588_82252561
chr5	83522783	83522817	PE_1_of_1_in_NM_004385.5_intron_6_0_chr5_83522310_f	NMD_in	VCAN	VCAN, CSPG2, WGN, WGN1, ERVR	chr5	83522309	83537006	NM_004385.5_intron_6_0_chr5_83522310_f	118661	Wagner syndrome 1, 143200 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.83522784_83522817	NC_000005.10:g.83522310_83537006
chr5	83544964	83545069	PE_1_of_1_in_NM_004385.5_intron_7_0_chr5_83542269_f	NMD_in	VCAN	VCAN, CSPG2, WGN, WGN1, ERVR	chr5	83542268	83545536	NM_004385.5_intron_7_0_chr5_83542269_f	118661	Wagner syndrome 1, 143200 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.83544965_83545069	NC_000005.10:g.83542269_83545536
chr5	87342927	87342978	PE_1_of_1_in_NM_002890.3_intron_5_0_chr5_87341322_f	NMD_in	RASA1	RASA1, GAP, CMAVM1, PKWS	chr5	87341321	87346671	NM_002890.3_intron_5_0_chr5_87341322_f	139150	Capillary malformation-arteriovenous malformation 1, 608354 (3), Autosomal dominant; Basal cell carcinoma, somatic, 605462 (3)	NA	NA	NA	NC_000005.10:g.87342928_87342978	NC_000005.10:g.87341322_87346671
chr5	87405620	87405781	PE_1_of_1_in_NM_001239.4_intron_4_0_chr5_87405008_r	NMD_in	CCNH	CCNH, CAK	chr5	87405007	87407975	NM_001239.4_intron_4_0_chr5_87405008_r	601953	NA	NA	NA	NA	NC_000005.10:g.87405621_87405781	NC_000005.10:g.87405008_87407975
chr5	96950451	96950632	PE_1_of_1_in_NM_005575.3_intron_0_0_chr5_96936175_f	NMD_in	LNPEP	LNPEP	chr5	96936174	96979137	NM_005575.3_intron_0_0_chr5_96936175_f	151300	NA	NA	NA	NA	NC_000005.10:g.96950452_96950632	NC_000005.10:g.96936175_96979137
chr5	102996708	102996851	PE_1_of_1_in_NM_001177306.2_intron_15_0_chr5_102990402_f	NMD_in	PAM	PAM	chr5	102990401	103003032	NM_001177306.2_intron_15_0_chr5_102990402_f	170270	NA	NA	NA	NA	NC_000005.10:g.102996709_102996851	NC_000005.10:g.102990402_103003032
chr5	108897963	108898132	PE_1_of_1_in_NM_005246.4_intron_9_0_chr5_108897849_f	NMD_in	FER	FER, TYK3	chr5	108897848	108946129	NM_005246.4_intron_9_0_chr5_108897849_f	176942	NA	NA	NA	NA	NC_000005.10:g.108897964_108898132	NC_000005.10:g.108897849_108946129
chr5	110755953	110756120	PE_1_of_1_in_NM_138773.4_intron_5_0_chr5_110755522_f	NMD_in	SLC25A46	SLC25A46, HMSN6B, PCH1E	chr5	110755521	110756701	NM_138773.4_intron_5_0_chr5_110755522_f	610826	Neuropathy, hereditary motor and sensory, type VIB, 616505 (3), Autosomal recessive; Pontocerebellar hypoplasia, type 1E, 619303 (3), Autosomal recessive	NA	NA	NA	NC_000005.10:g.110755954_110756120	NC_000005.10:g.110755522_110756701
chr5	111476967	111477150	PE_1_of_1_in_NM_001744.6_intron_7_0_chr5_111473387_f	NMD_in	CAMK4	CAMK4	chr5	111473386	111478380	NM_001744.6_intron_7_0_chr5_111473387_f	114080	NA	Rare Single Gene Mutation, Genetic Association	2	0	NC_000005.10:g.111476968_111477150	NC_000005.10:g.111473387_111478380
chr5	112311745	112311935	PE_1_of_1_in_NM_022140.5_intron_21_0_chr5_112307491_r	NMD_in	EPB41L4A	EPB41L4A, EPB41L4, NBL4	chr5	112307490	112418940	NM_022140.5_intron_21_0_chr5_112307491_r	612141	NA	NA	NA	NA	NC_000005.10:g.112311746_112311935	NC_000005.10:g.112307491_112418940
chr5	114485108	114485268	PE_1_of_1_in_NM_021614.4_intron_4_0_chr5_114473165_f	NMD_in	KCNN2	KCNN2, SK2, DYT34, NEDMAB	chr5	114473164	114487049	NM_021614.4_intron_4_0_chr5_114473165_f	605879	?Dystonia 34, myoclonic, 619724 (3), Autosomal dominant; Neurodevelopmental disorder with or without variable movement or behavioral abnormalities, 619725 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.114485109_114485268	NC_000005.10:g.114473165_114487049
chr5	122906828	122906877	PE_1_of_1_in_NM_014035.4_intron_0_0_chr5_122845694_f	NMD_in	SNX24	NA	chr5	122845693	122936733	NM_014035.4_intron_0_0_chr5_122845694_f	NA	NA	NA	NA	NA	NC_000005.10:g.122906829_122906877	NC_000005.10:g.122845694_122936733
chr5	128177574	128177639	PE_1_of_1_in_NM_001046.3_intron_20_0_chr5_128177153_f	NMD_in	SLC12A2	SLC12A2, NKCC1, KILQS	chr5	128177152	128178566	NM_001046.3_intron_20_0_chr5_128177153_f	600840	Kilquist syndrome, 619080 (3), Autosomal recessive; Delpire-McNeill syndrome, 619083 (3), Autosomal dominant; Deafness, autosomal dominant 78, 619081 (3), Autosomal dominant	NA	NA	NA	NC_000005.10:g.128177575_128177639	NC_000005.10:g.128177153_128178566
